from,to,time,amount,type,notes
"Megleris","greypo","2012-11-27 14:38:03","400.000000","P2P_TRANSFER","--"
"Megleris","veechee","2012-11-27 14:51:39","1940.000000","P2P_TRANSFER","--"
"dotlizard","veechee","2012-11-27 14:54:33","3456.000000","P2P_TRANSFER","--"
"GreatRevival","Po8","2012-11-27 14:57:02","250.880000","BUY","Megleris"
"Ekardsille","Po8","2012-11-27 15:03:57","5.700000","BUY","Megleris"
"Po8","Flashplayerman","2012-11-27 15:09:30","31.995000","SELL","Megleris"
"thurdog","Van_Awesome","2012-11-27 15:12:54","1000.000000","P2P_TRANSFER","--"
"Po8","Flashplayerman","2012-11-27 15:13:13","43.395000","SELL","Megleris"
"Po8","Flashplayerman","2012-11-27 15:22:34","784.735000","SELL","Megleris"
"Flashplayerman","Po8","2012-11-27 15:28:39","59.600000","BUY","Megleris"
"Po8","chispire","2012-11-27 15:29:05","49.280000","SELL","Megleris"
"Flashplayerman","Po8","2012-11-27 16:34:06","60.000000","BUY","Megleris"
"Megleris","bones9302","2012-11-27 16:42:10","1620.000000","P2P_TRANSFER","--"
"Po8","veechee","2012-11-27 17:15:07","804.555000","SELL","Butlerlog"
"Po8","GreatRevival","2012-11-27 17:57:13","24202.940000","SELL","Megleris"
"Po8","GreatRevival","2012-11-27 17:57:52","3246.690000","SELL","Megleris"
"Po8","veechee","2012-11-27 18:03:21","56.350000","SELL","Altimeter"
"Megleris","veechee","2012-11-27 18:24:45","600.000000","P2P_TRANSFER","--"
"Po8","littlevoecks","2012-11-27 18:32:14","202.020000","SELL","Altimeter"
"Altimeter","Tsubino","2012-11-27 18:35:00","100.000000","P2P_TRANSFER","--"
"Po8","littlevoecks","2012-11-27 18:44:24","133.780000","SELL","Altimeter"
"littlevoecks","Po8","2012-11-27 18:46:06","296.000000","BUY","Altimeter"
"Ekardsille","Po8","2012-11-27 19:11:26","3.350000","BUY","Megleris"
"veechee","Po8","2012-11-27 19:11:47","14.600000","BUY","Megleris"
"Ekardsille","Po8","2012-11-27 19:21:38","3.350000","BUY","The_Lorax"
"veechee","Po8","2012-11-27 19:59:16","37.000000","BUY","Pyrotek"
"Po8","Ulcano","2012-11-27 19:59:21","247.710000","SELL","Pyrotek"
"Altimeter","Megleris","2012-11-27 20:01:37","807.000000","P2P_TRANSFER","--"
"Nixonat0r","Po8","2012-11-27 21:46:56","202.300000","BUY","Ereh_Dogon"
"Po8","OsamaBinSteve","2012-11-27 21:58:06","54.865000","SELL","Pyrotek"
"PickleMan","Po8","2012-11-27 21:58:10","28.160000","BUY","Pyrotek"
"OsamaBinSteve","Po8","2012-11-27 22:02:35","42.400000","BUY","Pyrotek"
"franlk","PickleMan","2012-11-27 22:03:05","75.000000","P2P_TRANSFER","--"
"franlk","PickleMan","2012-11-27 22:03:51","50.000000","P2P_TRANSFER","--"
"Trolling1856","PickleMan","2012-11-27 22:10:26","75.000000","P2P_TRANSFER","--"
"Po8","franlk","2012-11-27 22:35:39","576.400000","SELL","Butlerlog"
"Po8","PickleMan","2012-11-27 22:47:00","13.855000","SELL","Butlerlog"
"Po8","PickleMan","2012-11-27 22:49:07","0.600000","SELL","Butlerlog"
"Po8","PickleMan","2012-11-27 22:50:21","1.920000","SELL","Butlerlog"
"Megleris","thurdog","2012-11-28 01:08:32","2880.000000","P2P_TRANSFER","--"
"Po8","greypo","2012-11-28 01:13:53","66.880000","SELL","atlasrune"
"Po8","Megleris","2012-11-28 01:21:14","43290.240000","SELL","atlasrune"
"dotlizard","Megleris","2012-11-28 01:23:16","15000.000000","P2P_TRANSFER","--"
"Po8","greypo","2012-11-28 01:35:28","63.360000","SELL","atlasrune"
"dotlizard","Megleris","2012-11-28 01:43:19","10000.000000","P2P_TRANSFER","--"
"Po8","greypo","2012-11-28 01:56:39","21.315000","SELL","Megleris"
"Po8","greypo","2012-11-28 02:17:54","125.025000","SELL","atlasrune"
"Po8","greypo","2012-11-28 03:09:01","53.190000","SELL","Megleris"
"Po8","greypo","2012-11-28 13:45:35","60.255000","SELL","atlasrune"
"Po8","greypo","2012-11-28 13:57:04","26.740000","SELL","The_Lorax"
"ChapelGentry","the_narwhal_king","2012-11-28 14:20:54","1300.000000","P2P_TRANSFER","--"
"Po8","Lygarine","2012-11-28 15:30:27","190.080000","SELL","Megleris"
"Po8","Sierra_G_117","2012-11-28 15:59:15","3.770000","SELL","Pyrotek"
"blacknbluedragon","Po8","2012-11-28 16:12:08","207.360000","BUY","Pyrotek"
"blacknbluedragon","Po8","2012-11-28 16:12:16","207.360000","BUY","Butlerlog"
"blacknbluedragon","Po8","2012-11-28 16:15:29","207.360000","BUY","Pyrotek"
"Po8","GreatRevival","2012-11-28 16:53:07","44.160000","SELL","Pyrotek"
"GreatRevival","Po8","2012-11-28 16:53:11","2760.000000","BUY","Pyrotek"
"blacknbluedragon","Po8","2012-11-28 16:53:14","1739.520000","BUY","Pyrotek"
"Po8","GreatRevival","2012-11-28 16:53:31","48.920000","SELL","Megleris"
"Po8","GreatRevival","2012-11-28 17:23:48","26.695000","SELL","Megleris"
"PickleMan","Po8","2012-11-28 17:50:28","3309.120000","BUY","Megleris"
"Po8","PickleMan","2012-11-28 17:52:39","15390.880000","SELL","Megleris"
"Megleris","PickleMan","2012-11-28 18:37:51","75.000000","P2P_TRANSFER","--"
"Sierra_G_117","PickleMan","2012-11-28 18:38:24","450.000000","P2P_TRANSFER","--"
"Sierra_G_117","PickleMan","2012-11-28 18:55:18","75.000000","P2P_TRANSFER","--"
"VerifedCupcake","Po8","2012-11-28 19:19:58","386.560000","BUY","Megleris"
"Po8","Sierra_G_117","2012-11-28 19:20:04","5086.625000","SELL","Megleris"
"Po8","GreatRevival","2012-11-28 19:20:08","1.920000","SELL","Megleris"
"PickleMan","Po8","2012-11-28 20:53:04","92.160000","BUY","Altimeter"
"PickleMan","Po8","2012-11-28 21:53:22","14.080000","BUY","dotlizard"
"escherial","Po8","2012-11-28 21:56:35","243.370000","BUY","atlasrune"
"Po8","nick8041","2012-11-29 00:53:58","604.305000","SELL","Megleris"
"Po8","greypo","2012-11-29 00:54:01","17.600000","SELL","Megleris"
"greypo","Po8","2012-11-29 00:54:03","636.700000","BUY","Megleris"
"nick8041","Po8","2012-11-29 03:07:20","240.100000","BUY","atlasrune"
"Po8","Lygarine","2012-11-29 03:45:58","190.080000","SELL","Megleris"
"Po8","greypo","2012-11-29 03:46:01","44.350000","SELL","Megleris"
